class_name,category,parent_code,characterization_dim,char_value,object_property,filler_class,comment
DDA,NodeOther,,,,hasNodeFeature,GeneralPhotograph,
DDB,NodeOther,,,,hasNodeFeature,GeneralRemark,
DDC,NodeOther,,,,hasNodeFeature,InspectionTermination,
,,DDC,1,A,hasTerminationReason,UnableToLiftCover,
,,DDC,1,B,hasTerminationReason,Obstruction,
,,DDC,1,C,hasTerminationReason,HighWaterLevel,
,,DDC,1,D,hasTerminationReason,EquipmentFailure,
,,DDC,1,Z,hasTerminationReason,OtherCause,
,,DDC,2,A,hasTerminationReason,InspectionComplete,
,,DDC,2,B,hasTerminationReason,AuthorityInstruction,
,,DDC,2,Z,hasTerminationReason,OtherCause,
DDD,NodeOther,,,,hasNodeFeature,WaterLevel,
DDE,NodeOther,,,,hasNodeFeature,FlowFromIncomingPipe,
,,DDE,1,A,hasWater,ClearEffluentWastewater,
,,DDE,1,B,hasWater,DiscountinuedWastewaterCode,
,,DDE,1,C,hasWater,TurbidWastewater,
,,DDE,1,D,hasWater,ColouredWastewater,
,,DDE,1,E,hasWater,TurbidWastewater,
,,DDE,2,A,hasNodeFeature,WronglyConnectedIncomingSurfaceWaterPipe,
,,DDE,2,B,hasNodeFeature,WronglyConnectedIncomingWastewaterPipe,
,,DDE,2,C,hasNodeFeature,CorrectConnection,
DDF,NodeOther,,,,hasNodeFeature,AtmosphereWithin,
,,DDF,1,A,hasNodeFeature,OxygenDeficiency,
,,DDF,1,B,hasNodeFeature,HydrogenSulfide,
,,DDF,1,C,hasNodeFeature,Methane,
,,DDF,1,Z,hasNodeFeature,OtherAtmosphereWithin,
DDG,NodeOther,,,,hasNodeFeature,LossOfVision,
,,DDG,1,A,hasObstructionReason,CameraUnderwater,
,,DDG,1,B,hasObstructionReason,Slit,
,,DDG,1,C,hasObstructionReason,Steam,
,,DDG,1,Z,hasObstructionReason,OtherCause,
