class_name;category;parent_code;characterization_dim;char_value;object_property;filler_class;comment
DAD;NodeFabric;;;;hasNodeFabricDamage;DefectiveBrickworkOrMasonry;
;;DAD;1;A;hasNodeFabricDamage;DisplacedBrickworkOrMasonry;
;;DAD;1;B;hasNodeFabricDamage;MissingBrickworkOrMasonry;
;;DAD;1;C;hasNodeFabricDamage;CollapsedBrickworkOrMasonry;
;;DAD;2;A;hasNodeFabricDamage;LayerBrickworkOrMasonryVisible;(!) WHEN BRICKS MISSING = Meaning only relevant when char1=b
;;DAD;2;B;hasNodeFabricDamage;NothingVisible;(!) WHEN BRICKS MISSING = Meaning only relevant when char1=b
DAE;NodeFabric;;;;hasNodeFabricDamage;MissingBrickworkOrMasonry;
DAF;NodeFabric;;;;hasNodeFabricDamage;Surface;
;;DAF;1;A;hasNodeFabricDamage;IncreasedRoughness;
;;DAF;1;B;hasNodeFabricDamage;Spalling;
;;DAF;1;C;hasNodeFabricDamage;VisibleAggregate;
;;DAF;1;D;hasNodeFabricDamage;AggregateProjectingFromSurface;
;;DAF;1;E;hasNodeFabricDamage;MissingAggregate;
;;DAF;1;F;hasNodeFabricDamage;VisibleReinforcement;
;;DAF;1;G;hasNodeFabricDamage;ReinforcementProjectingFromSurface;
;;DAF;1;H;hasNodeFabricDamage;CorrodedReinforcement;
;;DAF;1;I;hasNodeFabricDamage;MissingWallSurface;
;;DAF;1;J;hasNodeFabricDamage;CorrosionProductsOnSurface;
;;DAF;1;K;hasNodeFabricDamage;Blistering;
;;DAF;1;Z;hasNodeFabricDamage;OtherSurfaceDamage;
;;DAF;2;A;hasDamageCause;Mechanical;
;;DAF;2;B;hasDamageCause;Chemical;
;;DAF;2;C;hasDamageCause;ChemicalUpperPart;
;;DAF;2;D;hasDamageCause;ChemicalLowerPart;
;;DAF;2;E;hasDamageCause;NotEvident;
;;DAF;2;Z;hasDamageCause;OtherCause;
DAG;NodeFabric;;;;hasNodeFabricDamage;IntrudingConnection;
DAH;NodeFabric;;;;hasNodeFabricDamage;DefectiveConnection;
;;DAH;1;A;hasNodeFabricDamage;IncorrectPositionConnection;
;;DAH;1;B;hasNodeFabricDamage;GapConnection;
;;DAH;1;C;hasNodeFabricDamage;PartialGapConnection;
;;DAH;1;D;hasNodeFabricDamage;DamagedConnection;
;;DAH;1;E;hasNodeFabricDamage;BlockedConnection;
;;DAH;1;Z;hasNodeFabricDamage;OtherDefectiveConnection;
DAI;NodeFabric;;;;hasNodeFabricDamage;IntrudingSealingMaterial;
;;DAI;1;A;hasNodeFabricDamage;IntrudingSealingRing;
;;DAI;1;Z;hasNodeFabricDamage;IntrudingOtherSealant;
;;DAI;2;A;hasNodeFabricDamage;DisplacedSealingRing;(!) WHEN RING! = Meaning only relevant when DAI1=A
;;DAI;2;B;hasNodeFabricDamage;IntrudingButNotBrokenSealingRing;(!) WHEN RING! = Meaning only relevant when DAI1=A
;;DAI;2;C;hasNodeFabricDamage;IntrudingBrokenSealingRing;(!) WHEN RING! = Meaning only relevant when DAI1=A
DAJ;NodeFabric;;;;hasNodeFabricDamage;DisplacedJoint;
;;DAJ;1;A;hasDamageOrientation;Vertical;
;;DAJ;1;B;hasDamageOrientation;Horizontal;
;;DAJ;1;C;hasDamageOrientation;Angular;
DAK;NodeFabric;;;;hasNodeFabricDamage;Lining;
;;DAK;1;A;hasNodeFabricDamage;DetachedLining;
;;DAK;1;B;hasNodeFabricDamage;DiscoloredLining;
;;DAK;1;C;hasNodeFabricDamage;DefectiveEndOfLining;
;;DAK;1;D;hasNodeFabricDamage;WrinkledLining;
;;DAK;1;E;hasNodeFabricDamage;BlisteredOrInternalBulgeLining;
;;DAK;1;F;hasNodeFabricDamage;ExternalBulgeLining;
;;DAK;1;G;hasNodeFabricDamage;InternalFilmOrCoatingSeparation;
;;DAK;1;H;hasNodeFabricDamage;SeamCoveringSeparation;
;;DAK;1;I;hasNodeFabricDamage;CrackOrSplitOrWeldFailure;
;;DAK;1;J;hasNodeFabricDamage;HoleInLining;
;;DAK;1;K;hasNodeFabricDamage;LiningConnectionDefect;
;;DAK;1;L;hasNodeFabricDamage;SoftLiningMaterial;
;;DAK;1;M;hasNodeFabricDamage;ResinMissingFromLaminate;
;;DAK;1;N;hasNodeFabricDamage;EndOfLiningNotSealed;
;;DAK;1;Z;hasNodeFabricDamage;OtherLiningDefect;
;;DAK;2;A;hasDamageOrientation;Vertical;
;;DAK;2;B;hasDamageOrientation;Horizontal;
;;DAK;2;C;hasDamageOrientation;Complex;
;;DAK;2;D;hasDamageOrientation;Helical;
DAL;NodeFabric;;;;hasNodeFabricDamage;DefectiveRepair;
;;DAL;1;A;hasNodeFabricDamage;MissingWallDefectiveRepair;
;;DAL;1;B;hasNodeFabricDamage;PatchSealingDefectiveRepair;
;;DAL;1;C;hasNodeFabricDamage;RepairMaterialSeparated;
;;DAL;1;D;hasNodeFabricDamage;MissingRepairMaterial;
;;DAL;1;E;hasNodeFabricDamage;ExcessRepairMaterial;
;;DAL;1;F;hasNodeFabricDamage;HoleInRepairMaterial;
;;DAL;1;G;hasNodeFabricDamage;CrackInRepairMaterial;
;;DAL;1;Z;hasNodeFabricDamage;OtherDefectiveRepair;
DAM;NodeFabric;;;;hasNodeFabricDamage;WeldFailure;
;;DAM;1;A;hasDamageOrientation;Vertical;
;;DAM;1;B;hasDamageOrientation;Horizontal;
;;DAM;1;C;hasDamageOrientation;Inclined;
DAN;NodeFabric;;;;hasNodeFabricDamage;PorousWall;
DAO;NodeFabric;;;;hasNodeFabricDamage;SoilVisibleThroughDefect;
DAP;NodeFabric;;;;hasNodeFabricDamage;VoidVisibleThroughDefect;
DAQ;NodeFabric;;;;hasNodeFabricDamage;DefectiveStepOrLadder;
;;DAQ;1;A;hasNodeFabricDamage;LooseStep;
;;DAQ;1;B;hasNodeFabricDamage;MissingStep;
;;DAQ;1;C;hasNodeFabricDamage;CorrodedStep;
;;DAQ;1;D;hasNodeFabricDamage;BentStep;
;;DAQ;1;E;hasNodeFabricDamage;BrokenPlasticEncapsulationOfStep;
;;DAQ;1;F;hasNodeFabricDamage;CorrodedLadderHandrail;
;;DAQ;1;G;hasNodeFabricDamage;LooseLadderSupport;
;;DAQ;1;H;hasNodeFabricDamage;MissingLadderSupport;
;;DAQ;1;I;hasNodeFabricDamage;CorrodedLadderSupport;
;;DAQ;1;J;hasNodeFabricDamage;CorrodedLadderRunner;
;;DAQ;1;K;hasNodeFabricDamage;DefectiveToeHole;
;;DAQ;1;Z;hasNodeFabricDamage;OtherDefectiveStepOrLadder;
DAR;NodeFabric;;;;hasNodeFabricDamage;DefectiveCoverOrFrame;
;;DAR;1;A;hasNodeFabricDamage;BrokenCover;
;;DAR;1;B;hasNodeFabricDamage;RockingCover;
;;DAR;1;C;hasNodeFabricDamage;MissingCover;
;;DAR;1;D;hasNodeFabricDamage;BrokenFrame;
;;DAR;1;E;hasNodeFabricDamage;LooseFrame;
;;DAR;1;F;hasNodeFabricDamage;MissingFrame;
;;DAR;1;G;hasNodeFabricDamage;CoverBelowSurfaceLevel;
;;DAR;1;H;hasNodeFabricDamage;CoverAboveSurfaceLevel;
;;DAR;1;Z;hasNodeFabricDamage;OtherDefectiveCoverOrFrame;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
