class_name,category,parent_code,characterization_dim,char_value,object_property,filler_class,comment
DCA,NodeInventory,,,,hasNodeInventoryFeature,NodeConnection,
,,DCA,1,A,hasNodeInventoryFeature,BenchingConnection,
,,DCA,1,B,hasNodeInventoryFeature,FreeDropConnection,
,,DCA,1,C,hasNodeInventoryFeature,BackdropConnection,
,,DCA,1,D,hasNodeInventoryFeature,InternalDropPipeConnection,
,,DCA,1,E,hasNodeInventoryFeature,RampConnection,
,,DCA,1,F,hasNodeInventoryFeature,VentilationPipeConnection,
,,DCA,1,Z,hasNodeInventoryFeature,OtherConnection,
,,DCA,2,A,hasNodeInventoryFeature,ChannelInBenching,
,,DCA,2,B,hasNodeInventoryFeature,ConnectionDischargeBneching,
,,DCA,2,C,hasNodeInventoryFeature,RampChannelBenching,
,,DCA,2,D,hasNodeInventoryFeature,PipeUnderBenching,
,,DCA,2,Z,hasNodeInventoryFeature,OtherBenching,
DCB,NodeInventory,,,,hasLocalizedRepair,PointRepair,
,,DCB,1,A,hasLocalizedRepair,WallPartRepair,
,,DCB,1,B,hasLocalizedRepair,LocalisedLiningOfManholeOrInspectionChamberRepair,
,,DCB,1,C,hasLocalizedRepair,InjectedSealingMaterialRepair,
,,DCB,1,D,hasLocalizedRepair,HoleRepair,
,,DCB,1,E,hasLocalizedRepair,LocalisedLiningOfConnectionRepair,
,,DCB,1,F,hasLocalizedRepair,OtherConnectionRepair,
,,DCB,1,Z,hasLocalizedRepair,OtherPointRepair,
DCG,NodeInventory,,,,hasNodeInventoryFeature,ConnectingPipeline,
,,DCG,1,A,hasNodeInventoryFeature,CircularConnectingPipeline,
,,DCG,1,B,hasNodeInventoryFeature,RectangularConnectingPipeline,
,,DCG,1,C,hasNodeInventoryFeature,EggShapedConnectingPipeline,
,,DCG,1,D,hasNodeInventoryFeature,UShapeConnectingPipeline,
,,DCG,1,E,hasNodeInventoryFeature,ArchShapedConnectingPipeline,
,,DCG,1,F,hasNodeInventoryFeature,OvalConnectingPipeline,
,,DCG,1,X,hasNodeInventoryFeature,LocallyDefinedConnectingPipeline,"If prefixed with X, then local section defined by the employing authority."
,,DCG,1,Z,hasNodeInventoryFeature,OtherConnectingPipeline,
,,DCG,2,A,hasConnectionDischargeDirection,ConnectionDischargeIntoNode,
,,DCG,2,B,hasConnectionDischargeDirection,ConnectionDischargeFromNode,
,,DCG,2,C,hasConnectionDischargeDirection,ConnectionClosed,
DCH,NodeInventory,,,,hasNodeInventoryFeature,Benching,
,,DCH,1,A,hasNodeInventoryFeature,NoBenching,
,,DCH,1,B,hasNodeInventoryFeature,DefectiveBenching,
,,DCH,1,C,hasNodeInventoryFeature,WorkingBenching,
DCI,NodeInventory,,,,hasNodeInventoryFeature,Channel,
,,DCI,1,A,hasNodeInventoryFeature,DefectiveChannel,
,,DCI,1,B,hasNodeInventoryFeature,WorkingChannel,
,,DCI,1,C,hasNodeInventoryFeature,NoChannel,
,,DCI,2,A,hasNodeInventoryFeature,NarrowsChannel,
,,DCI,2,B,hasNodeInventoryFeature,WidensChannel,
,,DCI,2,C,hasNodeInventoryFeature,HighPointChannel,
,,DCI,2,D,hasNodeInventoryFeature,LowPointChannel,
DCJ,NodeInventory,,,,hasNodeInventoryFeature,SafetyChainBar,
,,DCJ,1,A,hasNodeInventoryFeature,NoDefectsSafetyChain,
,,DCJ,1,B,hasNodeInventoryFeature,MissingSafetyChain,
,,DCJ,1,C,hasNodeInventoryFeature,DefectiveSafetyChain,
,,DCJ,1,D,hasNodeInventoryFeature,CoatedDebrisSafetyChain,
,,DCJ,1,E,hasNodeInventoryFeature,NoDefectsSafetyBar,
,,DCJ,1,F,hasNodeInventoryFeature,MissingSafetyBar,
,,DCJ,1,G,hasNodeInventoryFeature,DefectiveSafetyBar,
,,DCJ,1,H,hasNodeInventoryFeature,CoatedDebrisSafetyBar,
DCK,NodeInventory,,,,hasNodeInventoryFeature,FlowControl,
,,DCK,1,A,hasNodeInventoryFeature,WeirFlowControl,
,,DCK,1,B,hasNodeInventoryFeature,SyphonFlowControl,
,,DCK,1,C,hasNodeInventoryFeature,OrificePlateFlowControl,
,,DCK,1,D,hasNodeInventoryFeature,VortexFlowControl,
,,DCK,1,E,hasNodeInventoryFeature,GateValveFlowControl,
,,DCK,1,F,hasNodeInventoryFeature,FloatOperatedGateValveFlowControl,
,,DCK,1,G,hasNodeInventoryFeature,VenturiFlowControl,
,,DCK,1,H,hasNodeInventoryFeature,FlapValveFlowControl,
,,DCK,1,I,hasNodeInventoryFeature,ScreensFlowControl,
,,DCK,1,Z,hasNodeInventoryFeature,OtherFlowControl,
,,DCK,2,A,hasNodeInventoryFeature,ContinuationFlowControl,
,,DCK,2,B,hasNodeInventoryFeature,OverflowControl,
DCL,NodeInventory,,,,hasNodeInventoryFeature,OtherPipelineThroughManhole,
,,DCL,1,A,hasNodeInventoryFeature,NoAccessToPipe,
,,DCL,1,B,hasNodeInventoryFeature,AccessablePipeCoverInPlace,
,,DCL,1,C,hasNodeInventoryFeature,AccesablePipeCoverMissing,
,,DCL,2,A,hasNodeInventoryFeature,DefectiveOtherPipelineThroughManhole,
,,DCL,2,B,hasNodeInventoryFeature,WorkingOtherPipelineThroughManhole,
DCM,NodeInventory,,,,hasNodeInventoryFeature,GritTrapUnderCover,
,,DCM,1,A,hasNodeInventoryFeature,DefectiveGritTrap,
,,DCM,1,B,hasNodeInventoryFeature,MissingGritTrap,
,,DCM,1,C,hasNodeInventoryFeature,WorkingGritTrap,
DCN,NodeInventory,,,,hasNodeInventoryFeature,SlitPit,
,,DCN,1,A,hasNodeInventoryFeature,WorkingSlitPit,
,,DCN,1,B,hasNodeInventoryFeature,DefectiveSlitPit,
DCO,NodeInventory,,,,hasNodeInventoryFeature,CrossSection,
,,DCO,1,A,hasNodeInventoryFeature,CircularCrossSection,
,,DCO,1,B,hasNodeInventoryFeature,RectangularCrossSection,
,,DCO,1,X,hasNodeInventoryFeature,LocallyDefinedCrossSection,
,,DCO,1,Z,hasNodeInventoryFeature,OtherCrossSection,
