class_name,category,parent_code,characterization_dim,char_value,object_property,filler_class,comment
DBA,NodeOperation,,,,hasNodeOperationDamage,Roots,
,,DBA,1,A,hasNodeOperationDamage,TapRoot,
,,DBA,1,B,hasNodeOperationDamage,IndependentFineRoots,
,,DBA,1,C,hasNodeOperationDamage,ComplexMassRoots,
DBB,NodeOperation,,,,hasNodeOperationDamage,AttachedDeposits,
,,DBB,1,A,hasNodeOperationDamage,EncrustationAttachedDeposit,
,,DBB,1,B,hasNodeOperationDamage,GreaseAttachedDeposit,
,,DBB,1,C,hasNodeOperationDamage,FoulingAttachedDeposit,
,,DBB,1,Z,hasNodeOperationDamage,OtherAttachedDeposit,
DBC,NodeOperation,,,,hasNodeOperationDamage,SettledDeposit,
,,DBC,1,A,hasNodeOperationDamage,FineSettledDeposit,
,,DBC,1,B,hasNodeOperationDamage,CoarseSettledDeposit,
,,DBC,1,C,hasNodeOperationDamage,HardOrCompactedSettledDeposit,
,,DBC,1,Z,hasNodeOperationDamage,OtherSettledDeposit,
DBD,NodeOperation,,,,hasNodeOperationDamage,IngressOfSoil,
DBE,NodeOperation,,,,hasNodeOperationDamage,Obstacle,
,,DBE,1,A,hasNodeOperationDamage,BrickOrMasonryObstacle,
,,DBE,1,B,hasNodeOperationDamage,PiecesOfPipeObstacle,
,,DBE,1,C,hasNodeOperationDamage,AnotherObjectObstacle,
,,DBE,1,D,hasNodeOperationDamage,ProtrudingThroughWallObstacle,
,,DBE,1,E,hasNodeOperationDamage,WedgedInJointObstacle,
,,DBE,1,F,hasNodeOperationDamage,EnteringThroughConnectionObstacle,
,,DBE,1,G,hasNodeOperationDamage,ExternalPipesOrCablesBuiltThroughStructureObstacle,
,,DBE,1,H,hasNodeOperationDamage,BuiltIntoStructureObstacle,
,,DBE,1,Z,hasNodeOperationDamage,OtherObstacle,
DBF,NodeOperation,,,,hasNodeOperationDamage,Infiltration,
,,DBF,1,A,hasNodeOperationDamage,SweatingInfiltration,
,,DBF,1,B,hasNodeOperationDamage,DrippingInfiltration,
,,DBF,1,C,hasNodeOperationDamage,FlowingInfiltration,
,,DBF,1,D,hasNodeOperationDamage,GushingInfiltration,
,,DBF,2,A,hasNodeOperationDamage,WallInfiltration,
,,DBF,2,B,hasNodeOperationDamage,InvertConnectionInfiltration,
,,DBF,2,C,hasNodeOperationDamage,BenchingConnectionInfiltration,
DBG,NodeOperation,,,,hasNodeOperationDamage,Exfiltration,
DBH,NodeOperation,,,,hasNodeOperationDamage,Vermin,
,,DBH,1,A,hasNodeOperationDamage,RatVermin,
,,DBH,1,B,hasNodeOperationDamage,CockroachVermin,
,,DBH,1,Z,hasNodeOperationDamage,OtherVermin,
,,DBH,2,A,hasNodeOperationDamage,InManholeOrInspectionChamber,
,,DBH,2,B,hasNodeOperationDamage,InConnection,
,,DBH,2,C,hasNodeOperationDamage,InOpenJoint,
,,DBH,2,Z,hasNodeOperationDamage,OtherLocation,
