class_name,label,parent,existing_comment,din_clause,comment
AccesablePipeCoverMissing,Accesable Pipe Cover Missing,OtherPipelineThroughManhole,,,
AccessablePipeCoverInPlace,Accessable Pipe Cover In Place,OtherPipelineThroughManhole,,,
AggregateProjectingFromSurface,Aggregate Projecting From Surface,Surface,,,
Angular,Angular,Orientation,Used by BAJ Displaced Joint,,
AnotherObjectObstacle,Another Object Obstacle,Obstacle,,,
ArchShapedConnectingPipeline,Arch Shaped Connecting Pipeline,ConnectingPipeline,,"Table 12, DCG char1 (E)","A pipe cross-section with a circular soffit and a flat invert, joined by parallel sides. Used for DCG char1 (E)."
AtmosphereWithin,Atmosphere Within,OtherObservation,,"Table 7, BDF; Table 13, DDF","A potentially hazardous atmosphere (oxygen deficiency, hydrogen sulfide, methane) was detected in the pipe or chamber. Used for BDF (pipe) and DDF (manhole/chamber), with char giving the hazard type as its subclasses."
AttachedDeposits,Attached Deposits,OperationalDefect,,"Table 5, BBB; Table 11, DBB","Material such as encrustation, grease or fouling is attached to the wall of the pipe or chamber. Used for BBB (pipe) and DBB (manhole/chamber), with char giving the material type as its subclasses."
AuthorityInstruction,Authority Instruction,Cause,,"Table 7, BDC char2 (B); Table 13, DDC char2 (B)",Records that the inspection was terminated on the instruction of the employing authority rather than for a technical reason. Used for BDC char2 (B) and DDC char2 (B).
BackdropConnection,Backdrop Connection,NodeConnection,,"Table 12, DCA char1 (C)",The connecting pipe discharges via a backdrop: an enclosed vertical pipe carrying flow from a higher-level drain down to the manhole invert. Used for DCA char1 (C).
Benching,Benching,Inventory,"Describe the benching arrangment of a connection type.

Created for code DCA (Connection Type, Node Inventory Code), char2.",,
BenchingConnection,Benching Connection,NodeConnection,,"Table 12, DCA char1 (A)",The connecting pipe discharges directly into the benching. Used for DCA char1 (A).
BenchingConnectionInfiltration,Benching Connection Infiltration,Infiltration,"Infiltration through the space between a connecting pipe and the wall of the manhole/chamber, above benching",,
BentStep,Bent Step,DefectiveStepOrLadder,,,
BlisteredOrInternalBulgeLining,Blistered Or Internal Bulge Lining,Lining,,"Table 4, BAK char1 (E); Table 10, DAK char1 (E)","The lining has blistered or bulged inward from the host wall. Used for BAK char1 (E) and DAK char1 (E), distinct from Blistering, which is a bulge in the host wall's own surface rather than the lining."
Blistering,Blistering,Surface,,"Table 4, BAF char1 (K); Table 10, DAF char1 (K)","An internal bulge in the pipe or chamber wall's own surface, distinct from a lining bulge (BlisteredOrInternalBulgeLining). Used for BAF char1 (K) and DAF char1 (K)."
BlockedConnection,Blocked Connection,DefectiveConnection,,,
Break,Break,BreakOrCollapse,pieces of pipe visibly displaced but not missing,,
BreakOrCollapse,Break Or Collapse,StructuralDefect,,"Table 4, BAC; Table 10, DAC","A structural failure ranging from displaced but still-present pieces, through missing pieces, to a complete loss of structural integrity. Used for BAC (pipe) and DAC (manhole/chamber), with Break, MissingWallBreakOrCollapse and CollapsedBreakOrCollapse as its char subclasses."
BrickMasonryLayerVisible,Brick Masonry Layer Visible,DefectiveBrickworkOrMasonry,,,
BrickOrMasonryObstacle,Brick Or Masonry Obstacle,Obstacle,,,
BrokenCover,Broken Cover,DefectiveCoverOrFrame,,,
BrokenFrame,Broken Frame,DefectiveCoverOrFrame,,,
BrokenPlasticEncapsulationOfStep,Broken Plastic Encapsulation Of Step,DefectiveStepOrLadder,,"Table 10, DAQ char (E)","The plastic coating (encapsulation) around a step has cracked or broken, exposing the metal step beneath to corrosion. Used only for DAQ char (E)."
BuiltIntoStructureObstacle,Built Into Structure Obstacle,Obstacle,,,
CameraUnderwater,Camera Underwater,Cause,,"Table 7, BDG char (A); Table 13, DDG char (A)",The view is obstructed because the camera itself is under water. Used for BDG char (A) and DDG char (A).
Cause,Cause,Observation,"`Cause` is used to describe the characterization codes that define the cause of a defect.

Example: Surface Damage `BAF` char2 describes mechanical, chemical, [...] causes for the surface damage.

---


Created to describe BAF / DAF Surface Damage Char2.

Describes the cause of the surface damage. Has potential to be expanded to further describes other damage codes as well.

Also used to described BDG Loss of vision and its reasons for the vision obstruction to the view of the pipeline.

Also to describe DDC InspectionTermination Reasons",,
Channel,Channel,Inventory,"Used to describe DCI char1 and 2:

!Characterisation 1""  The following information:  channel defective (A); channel not defective (B);  !no channel (C).""

!Characterisation 2 Further information:  Channel narrows (in the direction of flow) (A); Channel widens (in the direction of flow) (B); Channel has a high point (C); Channel has a low point (D).""",,
ChannelInBenching,Channel In Benching,Benching,,"Table 12, DCA char2 (A); Figure 6","The connecting pipe's channel runs within the benching itself, one of four benching-arrangement diagrams in the standard. Used for DCA char2 (A)."
Chemical,Chemical,Cause,,"Table 4, BAF char2 (B); Table 10, DAF char2 (B)","One of the listed causes of surface damage, denoting general chemical attack on the wall. Used for BAF char2 (B) and DAF char2 (B), and is the parent of ChemicalUpperPart and ChemicalLowerPart, which record where in the cross-section the chemical damage occurs."
ChemicalLowerPart,Chemical Lower Part,Chemical,,"Table 4, BAF char2 (D); Table 10, DAF char2 (D)","Chemical surface damage located in the lower part of the pipe or channel. Used for BAF char2 (D) and DAF char2 (D), distinguished from ChemicalUpperPart by location in the cross-section."
ChemicalUpperPart,Chemical Upper Part,Chemical,,"Table 4, BAF char2 (C); Table 10, DAF char2 (C)","Chemical surface damage located in the upper part of the pipe or channel. Used for BAF char2 (C) and DAF char2 (C), distinguished from ChemicalLowerPart by location in the cross-section."
ChiselledPlainConnection,Chiselled Plain Connection,PipeConnection,,"Table 4, BCA char1 (E)","A connection made without any special fitting, through a rough hole formed with a hammer and chisel. Used for BCA char1 (E), distinguished from DrilledPlainConnection by the hole-forming method."
ChiselledSaddleConnection,Chiselled Saddle Connection,PipeConnection,,"Table 4, BCA char1 (C)","A connection made using a saddle fitting through a rough hole formed with a hammer and chisel. Used for BCA char1 (C), distinguished from DrilledSaddleConnection by the hole-forming method."
CircularConnectingPipeline,Circular Connecting Pipeline,ConnectingPipeline,,,
CircularCrossSection,Circular Cross Section,CrossSection,,,
Circumferential,Circumferential,Orientation,,,
ClearEffluentWastewater,Clear Effluent Wastewater,Wastewater,,"Table 7, BDD (A); BDE char1 (A); DDE char1 (A)","The wastewater is clear enough that the invert is visible. Used for BDD (A), BDE char1 (A) and DDE char1 (A)."
ClosedConnection,Closed Connection,PipeConnection,,"Table 4, BCA char2 (B)",Records that the connection has been closed off; either a junction left for future use or one that has been cut off. Used for BCA char2 (B).
CoarseSettledDeposit,Coarse Settled Deposit,SettledDeposit,,"Table 5, BBC char (B); Table 11, DBC char (B)",Coarse settled material such as rubble or gravel. Used for BBC char (B) and DBC char (B).
CoatedDebrisSafetyBar,Coated Debris Safety Bar,SafetyChainBar,,,
CoatedDebrisSafetyChain,Coated Debris Safety Chain,SafetyChainBar,,,
CockroachVermin,Cockroach Vermin,Vermin,,,
CollapsedBreakOrCollapse,Collapsed Break Or Collapse,BreakOrCollapse,complete loss of structural integrity,,
CollapsedBrickworkOrMasonry,Collapsed Brickwork Or Masonry,DefectiveBrickworkOrMasonry,,,
ColouredWastewater,Coloured Wastewater,Wastewater,,"Table 7, BDD (D)/(E); BDE char1 (D)/(E)",The wastewater is coloured; the combined 'turbid and coloured' value (E) is also mapped onto this class. Used for BDD (D)/(E) and BDE char1 (D)/(E).
Complex,Complex,Orientation,,,
ComplexMassRoots,Complex Mass Roots,Roots,,,
ConnectingPipeline,Connecting Pipeline,Inventory,,"Table 12, DCG char1","Details of a pipeline connecting to the manhole or inspection chamber, primarily its cross-sectional shape. Used for DCG char1, with the specific shapes as subclasses; the pipe-side standard has no equivalent code, since a connecting pipeline's shape there is only captured in BCA's remarks."
ConnectingPipelineDischargeDirection,Connecting Pipeline Discharge Direction,OtherObservation,"To define DCG char2:

Whether the connection is incoming or outgoing or has been sealed:  connection discharges into the manhole or inspection chamber (A); connection discharges from the manhole or inspection chamber (B); connection closed (C).",,
Connection,Connection,Inventory,,"Table 4, BCA",Another pipeline is connected to the pipe being inspected; most such connections are assumed circular unless recorded otherwise. Used for BCA (pipe); the node-side connection concept is instead split across NodeConnection (DCA) and ConnectingPipeline (DCG).
ConnectionClosed,Connection Closed,ConnectingPipelineDischargeDirection,,,
ConnectionDischargeBneching,Connection Discharge Bneching,Benching,,"Table 12, DCA char2 (B); Figure 6",The connection discharges across the surface of the benching rather than through a formed channel. Used for DCA char2 (B).
ConnectionDischargeFromNode,Connection Discharge From Node,ConnectingPipelineDischargeDirection,,,
ConnectionDischargeIntoNode,Connection Discharge Into Node,ConnectingPipelineDischargeDirection,,,
ConnectionNotEvident,Connection Not Evident,PipeConnection,,"Table 4, BCA char1 (G)",Records that the type of connection fitting could not be determined during inspection. Used for BCA char1 (G).
